name,region
서울대도초등학교,서울특별시
합도초등학교,충청남도
주천초등학교,강원특별자치도
인천새봄초등학교,인천광역시
남평초등학교,충청북도
오선초등학교,충청북도
연양초등학교,세종특별자치시
어도초등학교,제주특별자치도
삼성초등학교,충청남도
영전초등학교,경상남도
흑산초등학교흑산동분교장,전라남도
서울을지초등학교,서울특별시
창용초등학교,경기도
서울금산초등학교,서울특별시
북일초등학교,전라남도
우암초등학교,충청북도
은산초등학교,충청남도
안양덕현초등학교,경기도
군산구암초등학교,전북특별자치도
성신초등학교,서울특별시
군포옥천초등학교,경기도
양주백석초등학교,경기도
운중초등학교,경기도
금병초등학교,강원특별자치도
신재초등학교,부산광역시
검바위초등학교,경기도
도초초등학교,전라남도
화성장안초등학교,경기도
대전삼육초등학교,대전광역시
대전천동초등학교,대전광역시
율길초등학교,경기도
산남초등학교,충청북도
풍기초등학교,경상북도
문덕초등학교,전라남도
효원초등학교,경기도
세류초등학교,경기도
서원주초등학교,강원특별자치도
용면초등학교,전라남도
상대원초등학교,경기도
군산미성초등학교,전북특별자치도
화양초등학교,경상남도
임호초등학교,경상남도
해남서초등학교,전라남도
비두초등학교,강원특별자치도
장평초등학교,전라남도
서울탑동초등학교,서울특별시
서울수암초등학교,서울특별시
녹전초등학교,경상북도
수지초등학교,경기도
양곡초등학교,경상남도
서울가재울초등학교,서울특별시
진천상산초등학교,충청북도
만대초등학교,강원특별자치도
대전보성초등학교,대전광역시
영주동부초등학교,경상북도
갈전초등학교,경상남도
칠금초등학교,충청북도
서울영동초등학교,서울특별시
두창초등학교,경기도
인천장서초등학교,인천광역시
중앙초등학교,강원특별자치도
예당초등학교,경기도
서울용산초등학교,서울특별시
계림초등학교,경상북도
민락초등학교,부산광역시
성남미금초등학교,경기도
성포초등학교,경기도
안양남초등학교,경기도
백룡초등학교,전북특별자치도
의정부호원초등학교,경기도
서울수색초등학교,서울특별시
남원용성초등학교,전북특별자치도
율목초등학교,경기도
서울묵현초등학교,서울특별시
군산푸른솔초등학교,전북특별자치도
나진초등학교,전라남도
가포초등학교,경상남도
우암초등학교,경상남도
고성초등학교,경상남도
미로초등학교,강원특별자치도
서울삼정초등학교,서울특별시
용남초등학교,경상남도
서울덕의초등학교,서울특별시
동량초등학교,충청북도
내북초등학교,충청북도
공도초등학교,경기도
남선초등학교,강원특별자치도
서울상계초등학교,서울특별시
대구성당초등학교,대구광역시
가평마장초등학교,경기도
현덕초등학교,경기도
비아초등학교,광주광역시
화동초등학교,경상북도
대구교동초등학교,대구광역시
부흥초등학교,부산광역시
함평초등학교,전라남도
대구노변초등학교,대구광역시
송죽초등학교,경기도
평원초등학교,강원특별자치도
전주송북초등학교,전북특별자치도
성수초등학교,전북특별자치도
봉현초등학교,경상북도
가사초등학교,충청남도
수청초등학교,경기도
서울수서초등학교,서울특별시
창우초등학교,경기도
대구학남초등학교,대구광역시
쌍백초등학교,경상남도
산양초등학교,경기도
광양덕례초등학교,전라남도
진제초등학교,광주광역시
장양초등학교,강원특별자치도
나주북초등학교,전라남도
은계초등학교,경기도
홍천초등학교,경기도
백문초등학교,경기도
거학초등학교,부산광역시
광일초등학교,경기도
영동초등학교,경기도
나비초등학교,경기도
대구동원초등학교,대구광역시
정재초등학교,경기도
인천송원초등학교,인천광역시
인천금곡초등학교,인천광역시
서울선유초등학교,서울특별시
단구초등학교,강원특별자치도
시흥초등학교,제주특별자치도
서울은진초등학교,서울특별시
용문초등학교,경기도
원촌초등학교,전라남도
인천장도초등학교,인천광역시
운곡초등학교,충청남도
가산초등학교,강원특별자치도
칠곡초등학교,경상남도
백초초등학교,전라남도
청룡초등학교,경기도
연천초등학교,경기도
삼척초등학교,강원특별자치도
양지초등학교,광주광역시
동남초등학교,제주특별자치도
안남초등학교,경상남도
연천초등학교,부산광역시
대전화정초등학교,대전광역시
대평초등학교,경기도
사평초등학교,전라남도
서울미동초등학교,서울특별시
불은초등학교,인천광역시
한송초등학교,충청북도
서울봉현초등학교,서울특별시
서울은평초등학교,서울특별시
석봉초등학교,경상남도
안강제일초등학교,경상북도
송운초등학교,부산광역시
한계초등학교,강원특별자치도
목포청호초등학교,전라남도
